1;2;39°43.094';47°13.362';ул. Б. Садовая, 69 (РГЭУ);
4;2;39°44.812';47°14.037';Каяни 15;
5;2;39°43.309';47°13.025';Ворошиловский 2/2;
6;9;39°46.310';47°15.719';ул. Менжинского, 4 (АТС-52, ИВЦ УФПС, коммутатор МФ);?
9;2;39°42.906';47°13.751';пр. Ворошиловский, 87/65 (Дом Профсоюзов);
103;13;39°42.772';47°14.318';пр. Нагибина, 3 (ДГТУ корпус №2);
105;9;39°45.806';47°15.062';ул. 1-й Конной Армии, 15а (ПСК);
106;9;39°44.832';47°14.958';ул. Ленина, 200 (УГИБДД);
107;2;39°43.130';47°13.925';ул. Лермонтовская, 177б (техн. офис МТС);
108;2;39°45.919';47°13.906';пл. Толстого, 8 (хлебозавод №5 - башня МТС на крыше);?
109;9;39°45.762';47°16.366';ул. 50 лет Ростсельмаша,4 (завод СИТО);?
110;2;39°42.258';47°13.179';ул. Б. Садовая, 33 (РГПУ);
111;13;39°40.748';47°13.676';пр. Народного Ополчения, 2 (корпус РГУ ПС);
121;2;39°44.152';47°13.545';ул. Б. Садовая, 154 (НИИ СИИС);
122;2;39°44.772';47°13.636';Театральная 4;
123;2;39°45.599';47°14.481';пр. Шолохова, 90 (общежитие);
124;2;39°46.844';47°14.256';ул. Черевичкина, 102;?
125;2;39°45.906';47°13.417';"ул. 19-я линия, 53 (ОАО ""Ростшампанкомбинат"")";?
126;2;39°45.179';47°13.519';Мясникова 52/34;?
129;9;39°48.742';47°15.825';пр. Шолохова, 282 (завод гражд. авиации);?
131;9;39°47.245';47°16.035';ул. Конституционная, 63/64 (общежитие);?
143;13;39°43.018';47°15.421';"пр. Нагибина, 30 (ТВЦ ""Роствертол"", башня МТС 5м)";
